word	length	syllables	senses	synonyms	hyponyms	hypernyms	subtitles	simple	subtlex
browse	6	1	7	7	3	6	-19.3	-19.9	-19.5
browser	7	2	2	1	0	2	-20.6	-14.7	-21.2
browsers	8	2	2	2	0	2	-24.4	-15.8	-24.4
browsing	8	2	6	7	3	5	-19	-17.2	-18.7
bruce	5	1	2	5	0	0	-14.4	-14.6	-14.3
bruins	6	2	2	3	3	1	-20.2	-15.3	-21.2
brunei	6	2	1	2	0	0	-20.9	-16.9	-24.4
brunette	8	2	2	1	0	1	-17.2	-20.6	-16.9
bruno	5	2	3	6	0	0	-15.6	-16.2	-24.4
brunswick	9	2	3	2	0	0	-20.6	-16.3	-20.6
brush	5	1	15	10	17	15	-14.9	-16.1	-14.9
brushed	7	1	9	4	2	6	-17.7	-19	-17.4
brushes	7	2	15	11	17	15	-17.9	-17.5	-18.2
brussels	8	2	1	4	0	0	-17.2	-15.8	-17.8
brutal	6	2	4	11	0	0	-16.2	-17.5	-15.8
bryan	5	2	2	4	0	0	-17.4	-15.2	-16.8
bryant	6	2	0	0	0	0	-17.9	-17.1	-24.4
bryce	5	1	0	0	0	0	-16.9	-18.6	-24.4
bst	3	3	0	0	0	0	-25.4	-22.2	-24.4
bt	2	2	0	0	0	0	-20	-18.7	-21
btw	3	3	0	0	0	0	-20.9	-22.2	-24.4
bubble	6	2	9	9	4	8	-15.4	-16.1	-15.7
bubbles	7	2	9	10	4	8	-15.5	-16.1	-16.1
buck	4	1	9	19	3	8	-14.5	-17	-13.6
bucket	6	2	4	2	6	4	-14.9	-17	-15.4
buckinghamshire	15	3	0	0	0	0	-23.1	-16.6	-24.4
buckley	7	2	0	0	0	0	-18.1	-17.9	-24.4
bucks	5	1	9	20	3	8	-13.1	-18.3	-12.9
bud	3	1	4	0	4	4	-14.2	-17	-13.5
budapest	8	3	1	3	0	0	-17.7	-16.2	-18.1
buddha	6	2	2	5	0	1	-16.1	-15.3	-16.3
buddhism	8	3	2	1	10	2	-19.6	-14.3	-19.3
buddhist	8	2	2	2	1	1	-17.6	-15	-17.4
buddies	7	2	1	6	1	1	-15.3	-20.6	-15.1
buddy	5	2	1	5	1	1	-12	-16.6	-12
budget	6	2	3	0	3	3	-15.2	-15.3	-15.4
budgetary	9	4	1	0	0	0	-21.7	-21.2	-21.6
budgeting	9	3	1	1	0	1	-22.5	-20.2	-22.4
budgets	7	2	3	1	3	3	-19.8	-18.2	-19.7
buenos	6	2	0	0	0	0	-16.9	-16.1	-16.9
buffalo	7	3	5	5	4	4	-15.7	-14.6	-15.1
buffer	6	2	10	10	4	8	-18.4	-16.9	-18
buffers	7	2	9	11	4	8	-20.7	-20.2	-21
buffet	6	2	5	7	5	5	-16.4	-20.2	-16.5
buffy	5	2	0	0	0	0	-18.6	-15.5	-17
bufing	6	3	0	0	0	0	-26.4	-22.2	-24.4
bug	3	1	7	13	6	6	-14.7	-16.2	-14.3
bugs	4	1	7	14	6	6	-15.2	-16	-14.9
build	5	1	12	22	20	11	-13.4	-12.6	-13.1
builder	7	2	3	2	9	3	-17.6	-16	-18.8
builders	8	2	3	3	9	3	-18.4	-16	-19.5
building	8	2	14	10	74	13	-12.6	-11.5	-12.1
buildings	9	2	14	11	74	13	-15.9	-12.1	-15.4
builds	6	1	12	23	20	11	-17.7	-15.9	-16.9
built	5	1	11	9	12	9	-13.7	-10.5	-13.3
bulb	4	1	6	7	4	6	-16.7	-16.6	-16.7
bulbs	5	1	6	8	4	6	-17.8	-16.9	-17.9
bulgaria	8	4	1	2	0	0	-19	-15.1	-20.9
bulgarian	9	4	3	1	0	2	-19	-15.7	-20.6
bulk	4	1	5	4	1	5	-16.6	-16.3	-17.8
bull	4	1	15	21	1	14	-14.3	-13.7	-13.9
bulldog	7	2	3	1	1	3	-16.7	-17.7	-16.5
bullet	6	2	3	6	5	3	-14.2	-15.4	-13.4
bulletin	8	3	2	0	2	2	-17.2	-17.5	-16.9
bulletins	9	3	2	1	2	2	-20.8	-20.2	-20.3
bullets	7	2	3	7	5	3	-14.9	-15.5	-14.6
bulls	5	1	15	22	1	14	-17	-16.2	-16.3
bump	4	1	8	22	18	7	-15.2	-18.3	-15.1
bumper	6	2	2	0	0	2	-17	-20.6	-16.9
bunch	5	1	5	11	4	5	-13	-15.9	-12.8
bundle	6	2	7	18	7	7	-16.7	-17.6	-16.7
bundles	7	2	7	19	7	7	-19.3	-19.2	-18.8
bunny	5	2	2	2	0	2	-14.7	-17.3	-14.5
burbank	7	2	1	2	0	0	-18	-18.3	-18.2
burden	6	2	6	14	17	6	-15.6	-17.6	-15.4
bureau	6	2	2	8	67	2	-16.1	-14.3	-15.2
burger	6	2	2	6	1	1	-15.4	-18.3	-15.3
burgess	7	2	2	3	0	1	-19.8	-16.4	-18.8
burgundy	8	3	3	3	3	2	-17.5	-16.4	-17.3
burial	6	3	2	5	1	2	-17	-15.3	-16.4
buried	6	2	7	13	3	5	-14.3	-13	-13.6
burke	5	1	4	6	0	2	-16.3	-15.9	-15.5
burkina	7	3	0	0	0	0	-21.3	-16.5	-24.4
burma	5	2	1	3	0	0	-19.2	-15.8	-18.1
burn	4	1	20	17	27	18	-13.3	-14.4	-12.9
burned	6	1	18	18	19	13	-14.5	-14.2	-13.9
burner	6	2	2	0	3	2	-18.1	-18.7	-17.8
burners	7	2	2	1	3	2	-20.2	-20.6	-19.6
burnett	7	2	1	3	0	0	-19.7	-18.3	-24.4
burning	7	2	22	17	26	18	-14	-14.4	-13.8
burns	5	1	22	22	27	18	-14.4	-15	-14.2
burnt	5	1	18	18	19	13	-15.4	-15.3	-15.4
burst	5	1	12	16	13	10	-15.5	-16.1	-15.6
burt	4	1	1	3	0	0	-14.5	-17.4	-15
burton	6	2	3	4	0	1	-16.6	-15.5	-17.1
bury	4	2	6	10	3	5	-14.8	-16.1	-14.3
bus	3	1	7	13	3	8	-12.7	-13.6	-12.5
busch	5	1	0	0	0	0	-20.5	-17.1	-24.4
buses	5	2	7	14	3	8	-17	-14.8	-16.7
bush	4	1	9	17	306	5	-14.9	-13.5	-14.9
business	8	2	9	15	49	9	-10.7	-12.2	-10.4
businesses	10	3	9	16	49	9	-17.1	-14.3	-17.1
bust	4	1	10	18	8	9	-14.6	-17.7	-13.9
buster	6	2	5	5	0	4	-15.4	-18.9	-14.7
busty	5	2	1	10	0	0	-19.7	-22.2	-20.8
busy	4	2	6	9	2	1	-12	-15.1	-12
but	3	1	1	4	0	0	-26.4	-22.2	-24.4
butler	6	2	3	3	0	1	-15.4	-16.6	-15.4
butt	4	1	12	46	14	12	-13.4	-17.7	-13.4
butte	5	1	2	1	0	1	-20.8	-19	-19.6
butter	6	2	3	0	5	4	-14.2	-14.9	-14.3
butterfly	9	3	5	9	8	5	-15.7	-15.1	-16.2
button	6	2	9	5	8	9	-13.9	-15.2	-13.9
buttons	7	2	9	6	8	9	-15.4	-15.8	-15.6
butts	5	1	12	47	14	12	-16.3	-19.9	-16.2
buy	3	1	6	6	12	5	-11.1	-13.2	-11.1
buyer	5	2	1	3	3	1	-16.6	-17.5	-16.3
buyers	6	2	1	4	3	1	-17.9	-17.7	-17.4
buying	6	2	6	6	13	5	-13.7	-15.5	-13.7
buys	4	1	6	7	12	5	-16	-16.7	-15.9
buzz	4	1	6	6	1	6	-14.8	-17.1	-14.7
by	2	1	2	3	0	0	-26.4	-22.2	-24.4
bye	3	1	2	15	0	2	-11	-17.8	-11.2
bylaws	6	2	1	1	0	1	-19.5	-19.2	-19.9
bypass	6	2	4	8	0	4	-17.5	-17.5	-16.9
byrd	4	1	2	5	0	0	-18.3	-16.3	-24.4
byron	5	2	1	3	0	0	-17	-16.7	-17.1
byte	4	1	1	0	0	1	-22	-17	-21.8
bytes	5	1	1	1	0	1	-22.4	-15.9	-20.3
c	1	1	13	22	9	14	-13.9	-11.4	-12.2
ca	2	1	2	7	1	1	-8.1	-14	-17.6
cab	3	1	4	4	2	4	-13.9	-16.5	-13.5
cabernet	8	3	1	2	0	1	-19.4	-22.2	-19.6
cabin	5	2	4	0	3	3	-14.7	-15.8	-14.4
cabinet	7	3	4	3	7	4	-15.4	-14	-15.6
cabinets	8	3	4	4	7	4	-18.6	-18.5	-18.4
cabins	6	2	4	1	3	3	-18.8	-18	-18.8
cable	5	2	8	11	6	8	-14.9	-14.4	-14.3
cables	6	2	8	12	6	8	-17.8	-15.9	-17.6
cache	5	1	4	6	1	4	-19.5	-15.2	-19.4
cached	6	1	1	6	0	1	-24.8	-19.4	-24.4
caching	7	2	1	6	0	1	-22.9	-18.3	-24.4
cadillac	8	3	0	0	0	0	-17	-19	-16.2
caesar	6	2	2	5	0	0	-15.1	-14.1	-15.3
cafe	4	2	1	3	5	1	-15.5	-16.9	-16.4
caffeine	8	2	1	1	0	1	-17.5	-16	-17.1
cage	4	1	6	6	4	5	-14.8	-16	-14.4
cain	4	1	1	1	0	0	-17.7	-17.4	-16.6
cairns	6	1	2	2	0	2	-23.2	-17.8	-24.4
cairo	5	2	2	5	0	0	-17.9	-15.6	-17.3
cake	4	1	4	3	41	4	-12.9	-14.8	-13.2
cakes	5	1	4	4	41	4	-15.5	-16.2	-16.2
cal	3	1	0	0	0	0	-15.7	-17.7	-15.3
calcium	7	3	1	2	1	1	-18.1	-14.3	-17.9
calculate	9	3	6	16	27	5	-17.7	-15.5	-17.6
calculated	10	4	7	19	27	5	-17.7	-15.4	-17.5
calculating	11	4	7	21	27	5	-18.7	-16.9	-18.5
calculation	11	4	3	5	10	3	-18.9	-16.7	-19.4
calculations	12	4	3	6	10	3	-17.2	-15.6	-17.5
calculator	10	4	2	5	12	2	-18.1	-17.2	-18.3
calculators	11	4	2	6	12	2	-21	-17.1	-21
calculus	8	3	3	4	11	3	-18.5	-16.1	-18.8
calcutta	8	3	1	2	0	0	-18.5	-17.3	-18.5
caldwell	8	2	1	3	0	0	-18.5	-17.9	-24.4
caledonia	9	5	1	1	0	0	-21.6	-18	-24.4
calendar	8	3	4	0	5	4	-15.9	-13.2	-15.9
calendars	9	3	4	1	5	4	-18.8	-16.8	-19.3
calf	4	1	4	2	4	3	-17.1	-17.4	-17.1
calgary	7	3	1	1	0	0	-19.8	-15.1	-19.9
calhoun	7	2	0	0	0	0	-19.3	-17.3	-24.4
calibration	11	4	1	2	2	1	-21.2	-19	-20.9
california	10	4	1	4	0	0	-14.6	-11.5	-13.4
call	4	1	41	36	72	33	-9.2	-12.1	-8.9
callaway	8	3	0	0	0	0	-20.1	-20.2	-24.4
called	6	1	28	26	44	22	-10.5	-8.1	-10.3
caller	6	2	9	5	1	6	-16.3	-19	-16.6
calling	7	2	29	28	48	23	-11.9	-14.5	-11.7
calls	5	1	41	37	72	33	-12.7	-13.8	-12.4
calm	4	1	8	23	7	6	-12	-15.6	-12.2
calorie	7	3	2	7	0	1	-20.5	-19.6	-20.8
calories	8	3	2	8	0	1	-17.6	-17.5	-18.1
calvin	6	2	2	6	0	0	-16.1	-14.6	-15.5
cam	3	1	2	3	1	1	-16.2	-17.9	-16.8
cambodia	8	4	1	3	0	0	-19.4	-16.5	-18.2
cambridge	9	2	3	2	0	0	-17.9	-13.9	-17.2
cambridgeshire	14	3	0	0	0	0	-25.4	-17.2	-24.4
camcorders	10	3	1	1	0	1	-22.4	-22.2	-22.8
camden	6	2	1	1	0	0	-17.4	-16.8	-19.1
came	4	1	21	20	20	15	-10.2	-10.6	-9.8
camel	5	2	1	0	2	1	-16.2	-16.1	-16.4
cameltoe	8	3	0	0	0	0	-23.8	-22.2	-24.4
camera	6	3	2	3	10	2	-12.9	-14.4	-12.9
cameras	7	3	2	4	10	2	-15	-15.3	-14.5
cameron	7	3	0	0	0	0	-15.9	-15.1	-24.4
cameroon	8	3	2	3	0	0	-20.5	-16.2	-20.9
camino	6	3	0	0	0	0	-18.9	-18.9	-19.8
camp	4	1	12	15	21	11	-13.4	-13	-13
campaign	8	2	7	15	20	6	-14.6	-13.5	-14.6
campaigns	9	2	7	16	20	6	-19.1	-15.6	-18.8
campbell	8	2	1	2	0	0	-16	-15.5	-16.3
camping	7	2	4	9	0	4	-15.9	-16.3	-16.1
camps	5	1	11	15	21	11	-17.7	-14.2	-16.8
campus	6	2	1	0	0	1	-15.7	-14.6	-15.3
campuses	8	3	1	1	0	1	-21.4	-16.4	-21.8
cams	4	1	2	4	1	1	-20.3	-21.2	-19.8
can	3	1	8	54	20	8	-26.4	-22.2	-24.4
canada	6	3	1	1	0	0	-15	-11.6	-15.3
canadian	8	4	3	2	3	1	-16.1	-12.2	-16.4
canadians	9	4	2	2	3	1	-18.6	-16.8	-18.1
canal	5	2	4	5	33	4	-16.5	-14.3	-16
canary	6	3	5	11	1	4	-17.1	-16.3	-17.1
canberra	8	3	1	3	0	0	-21.6	-16.2	-21.6
cancel	6	2	6	9	8	5	-14.5	-16.9	-14.5
canceled	8	2	5	9	8	4	-15.7	-14.6	-15.8
cancellation	12	4	2	0	4	2	-18.6	-18.1	-18.3
cancelled	9	2	6	10	8	4	-15.6	-22.2	-16
cancer	6	2	5	5	4	3	-14.3	-12.9	-14.2
cancers	7	2	5	6	4	3	-21.1	-17.6	-20
cancun	6	2	1	1	0	0	-19.5	-22.2	-24.4
candid	6	2	3	10	0	0	-18.3	-19.9	-17.7
candidate	9	3	2	3	6	2	-15.7	-14	-15.6
candidates	10	3	2	4	6	2	-16.7	-14.8	-16.7
candle	6	2	3	5	4	3	-15.6	-16.5	-15.7
candles	7	2	3	6	4	3	-15.4	-16.6	-15.3
candy	5	2	2	3	42	2	-13.6	-15.6	-13.5
cane	4	1	4	3	6	4	-16.4	-16.1	-15.6
canned	6	1	4	15	6	2	-16.8	-18.1	-16.6
cannes	6	1	1	1	0	0	-18.5	-17.5	-24.4
cannon	6	2	8	2	7	7	-15.6	-16.1	-15.6
canoe	5	2	2	0	4	2	-17.4	-18.1	-16.9
canon	5	2	6	1	2	6	-18.5	-14.9	-18.7
canonical	9	4	4	3	0	0	-23.1	-17.5	-24.4
canopy	6	3	4	0	6	4	-18.9	-17.8	-17.9
cans	4	1	8	55	20	8	-15.7	-17.2	-15.8
canterbury	10	4	1	1	0	0	-18.9	-15.4	-18.4
canvas	6	2	10	9	36	9	-17.2	-16.6	-16.6
canyon	6	2	1	1	0	1	-16.6	-16.2	-15.7
cap	3	1	11	13	39	11	-14.6	-15.7	-14.5
capabilities	12	5	3	4	12	3	-18.8	-17.2	-17.7
capability	10	5	3	3	12	3	-19.1	-17.1	-18.2
capable	7	3	5	6	0	0	-14.6	-14.9	-14.3
capacities	10	4	9	6	6	9	-21	-17.9	-20.8
capacity	8	4	9	5	6	9	-16.3	-14	-15.7
cape	4	1	2	2	5	2	-15.8	-13.3	-15.7
capita	6	3	2	2	1	2	-20.9	-16.5	-20.5
capital	7	3	11	11	11	5	-15	-10.6	-15
capitalism	10	5	1	1	1	1	-18.1	-15.7	-18.7
capitalist	10	4	4	1	7	2	-18	-17.1	-18.1
capitol	7	3	2	2	0	1	-18	-15.7	-17.4
capri	5	2	1	1	0	0	-18.1	-19	-24.4
caps	4	1	11	14	39	11	-17.1	-16.9	-17.1
capsule	7	2	9	10	7	9	-16.9	-17.9	-17.3
capsules	8	2	9	11	7	9	-19.3	-18.9	-19
captain	7	2	8	10	3	8	-11.7	-13	-11
caption	7	2	4	2	0	4	-19.2	-16.9	-20.2
captive	7	2	5	9	6	3	-17.9	-16.9	-17.5
capture	7	2	11	18	21	10	-15.3	-14.2	-15.3
captured	8	2	6	17	12	6	-15.3	-13.5	-15.1
captures	8	2	11	19	21	10	-19.5	-17.3	-19.4
capturing	9	3	6	17	12	6	-18.5	-16.4	-17.9
car	3	1	5	10	42	3	-10	-11.7	-9.8
carat	5	2	2	2	0	2	-20	-22.2	-20.2
caravan	7	3	3	3	0	3	-16.9	-17.8	-18.2
carb	4	1	0	0	0	0	-20.8	-22.2	-24.4
carbon	6	2	3	4	8	3	-16.9	-12.9	-16.3
carcinoma	9	4	1	0	16	1	-22.1	-17.9	-20.9
card	4	1	13	23	22	13	-12.4	-13.5	-12.3
cardboard	9	2	2	2	6	2	-17.1	-17.3	-17.3
cardiac	7	3	1	0	0	0	-18	-16.8	-16.7
cardiff	7	2	1	1	0	0	-19.3	-16.3	-24.4
cardinal	8	3	6	10	4	4	-17.3	-15.4	-16.7
cardinals	9	3	4	7	4	4	-19.5	-15.7	-19.4
cardiology	10	5	1	0	0	1	-20.8	-21.2	-20
cardiovascular	14	6	1	0	0	0	-20.3	-18.5	-20.3
cards	5	1	14	25	46	14	-13.3	-13.5	-13.1
care	4	1	11	20	50	11	-10.1	-12.9	-9.8
cared	5	1	5	8	19	5	-15.3	-16.6	-14.9
career	6	2	3	3	4	3	-13.4	-11.7	-13.2
careers	7	2	3	4	4	3	-17.4	-16.1	-17.1
careful	7	2	5	4	0	0	-11.9	-15	-11.9
carefully	9	3	2	1	0	0	-14.1	-14.9	-14.1
cares	5	1	11	21	50	11	-13.4	-17.3	-13.4
cargo	5	2	1	7	0	1	-16.2	-15.1	-15.5
caribbean	9	4	2	2	0	0	-16.9	-13.5	-16.7
caring	6	2	7	9	20	6	-15.9	-16.4	-15.9
carisoprodol	12	3	0	0	0	0	-26.4	-22.2	-24.4
carl	4	1	0	0	0	0	-13.9	-14.4	-13.9
carleton	8	2	0	0	0	0	-21.3	-19.6	-24.4
carlisle	8	2	0	0	0	0	-18.5	-16.4	-24.4
carlo	5	2	0	0	0	0	-16.3	-15.5	-16.4
carlos	6	2	1	11	0	0	-15	-14.5	-24.4
carlson	7	2	0	0	0	0	-18	-20.2	-24.4
carlton	7	2	0	0	0	0	-14.8	-17.4	-24.4
carmel	6	2	0	0	0	0	-18.7	-18	-19.5
carmen	6	2	0	0	0	0	-15.8	-16.4	-15.3
carnegie	8	3	2	3	0	0	-18.7	-15.9	-18.7
carnival	8	3	3	3	1	3	-16.2	-15.6	-15.9
carol	5	2	3	1	0	3	-14.5	-15.7	-13.9
carole	6	2	0	0	0	0	-17.5	-18.7	-17.5
carolina	8	4	1	2	0	0	-16.9	-12.9	-16.1
caroline	8	3	1	2	0	0	-15.6	-15.7	-15.3
carpenter	9	3	2	0	0	2	-17.1	-16.4	-16.1
carpet	6	2	5	2	14	5	-15	-17.1	-15.2
carriage	8	2	5	14	33	5	-16	-15.9	-15.8
carrie	6	2	0	0	0	0	-14.8	-17.3	-24.4
carried	7	2	40	28	32	35	-14.6	-13.2	-14.4
carrier	7	3	11	13	5	11	-16.9	-16	-16
carriers	8	3	11	14	5	11	-19.3	-16.6	-17.4
carries	7	2	41	28	37	36	-16.3	-14.7	-16
carroll	7	2	1	6	0	0	-19	-16.9	-18.4
carry	5	2	41	27	37	36	-12.8	-13.3	-12.7
carrying	8	3	40	28	32	35	-14.3	-14.5	-13.9
cars	4	1	5	11	42	3	-13.5	-12.6	-13.2
carson	6	2	2	5	0	0	-17	-16	-16.1
cart	4	1	4	6	15	4	-15.4	-16.6	-15.5
carte	5	1	1	4	3	1	-19.1	-20.2	-18.5
carter	6	2	3	6	0	1	-14.3	-14.7	-13.7
cartier	7	3	1	2	0	0	-19.2	-18.6	-18.9
cartoon	7	2	3	3	1	3	-15.9	-14.3	-16.8
cartoons	8	2	3	4	1	3	-17	-15.4	-17.2
cartridge	9	2	4	2	6	4	-19.4	-16.8	-18.8
cartridges	10	3	4	3	6	4	-19.4	-16.9	-18.7
carts	5	1	4	7	15	4	-18.1	-17.3	-17.8
carved	6	1	4	4	8	2	-17.2	-15.3	-16.7
casa	4	2	0	0	0	0	-16.9	-18.5	-17.3
cascade	7	2	5	2	0	5	-20.1	-16.7	-19.4
case	4	1	22	31	57	20	-11	-12.1	-10.6
cases	5	2	22	32	57	20	-14.5	-12.6	-13.9
casey	5	2	0	0	0	0	-14.2	-16.9	-24.4
cash	4	1	4	7	7	3	-12.8	-14.9	-12.5
cashier	7	2	4	2	0	4	-17.2	-19.6	-17
cashiers	8	2	4	3	0	4	-20.9	-21.2	-21
casino	6	3	2	2	2	2	-15.5	-16.4	-14.3
casinos	7	3	2	3	2	2	-18.3	-17.9	-17.1
casio	5	3	0	0	0	0	-21	-20.2	-24.4
cassette	8	2	1	0	2	1	-17.6	-17.5	-17.8
cassettes	9	2	1	1	2	1	-19.6	-18.7	-19.5
cast	4	1	20	55	30	19	-14.2	-13.8	-14.2
casting	7	2	15	49	24	14	-16.2	-16.2	-16.6
castle	6	2	5	3	0	5	-13.5	-12.8	-14.3
castro	6	2	1	3	0	0	-17.8	-15.8	-16.6
casual	6	3	9	12	0	0	-15.9	-16.5	-15.8
casualties	10	4	4	3	3	4	-17.5	-16.4	-15.8
casualty	8	4	4	2	3	4	-18.3	-18.5	-17.3
cat	3	1	10	37	12	10	-12.4	-13.5	-12.6
catalan	7	3	4	1	0	2	-20.7	-16.3	-21.2
catalog	7	3	4	1	5	4	-17.3	-17.9	-17.1
catalogs	8	3	4	2	5	4	-20	-19.4	-19.5
catalogue	9	3	4	1	5	4	-17.7	-16.7	-17.6
catalyst	8	3	2	1	3	2	-19.9	-16.3	-19
catch	5	1	39	36	35	34	-11.7	-13.8	-11.6
catches	7	2	39	37	35	34	-16.2	-16.2	-16
catching	8	2	33	37	21	27	-15.3	-16	-15
categories	10	4	2	3	15	2	-18.9	-14.3	-18.7
categorized	11	4	2	3	1	1	-21.9	-17.2	-21.6
category	8	4	2	2	15	2	-17	-11.9	-16.7
cater	5	2	2	3	21	2	-18.7	-19	-18.4
catering	8	3	3	4	21	3	-17	-18.9	-17.3
cathedral	9	3	3	1	1	1	-17.4	-12.7	-16.8
catherine	9	3	2	4	0	0	-15.7	-14.1	-14.5
catholic	8	2	3	1	5	1	-15.8	-12.2	-15.1
catholics	9	2	1	1	5	1	-18.8	-14.6	-18
cathy	5	2	0	0	0	0	-16.6	-19	-15.3
cats	4	1	10	38	12	10	-14.3	-14.2	-14.4
cattle	6	2	1	4	12	1	-16.1	-14	-15
caucasian	9	3	4	6	15	2	-18.1	-17.5	-17.2
caught	6	1	29	27	21	24	-12.3	-13.9	-12.1
causal	6	2	1	0	0	0	-21.4	-19.4	-21
cause	5	1	7	19	59	6	-10.6	-11.9	-10.4
caused	6	1	2	7	20	1	-14.3	-11.5	-14
causes	6	2	7	20	59	6	-15.8	-12.8	-15.4
causing	7	2	3	8	25	2	-15.7	-13.6	-15.4
caution	7	2	5	9	2	5	-16.8	-18.5	-16.3
cautious	8	2	3	2	0	1	-17.3	-19.9	-16.9
cave	4	1	3	2	4	3	-14.8	-14.2	-14.9
cavity	6	3	4	7	49	4	-17.8	-16.4	-17.1
cayman	6	2	1	1	1	1	-19.3	-17.5	-18.8
cbs	3	3	0	0	0	0	-18.6	-15	-24.4
cc	2	2	2	8	0	1	-17.4	-17.4	-16.9
cctv	4	4	0	0	0	0	-18.9	-18.1	-24.4
cd	2	2	5	12	4	5	-15.4	-14.2	-15.6
cdma	4	3	0	0	0	0	-26.4	-19.6	-24.4
cdna	4	3	1	2	2	1	-26.4	-22.2	-24.4
cds	3	2	4	11	4	5	-17.3	-15.7	-24.4
ce	2	2	2	6	0	1	-18	-15.3	-18.7
cease	5	1	3	8	23	1	-16.4	-17.9	-15.6
ceased	6	1	2	9	23	0	-18.8	-16.3	-18.3
cecil	5	2	0	0	0	0	-17.5	-16.6	-17.7
cedar	5	2	3	3	14	2	-18.2	-16.8	-17.4
ceiling	7	2	4	2	4	3	-15.6	-16.3	-15.6
celeb	5	2	0	0	0	0	-20.9	-22.2	-20.3
celebrate	9	3	3	5	7	2	-13.9	-14.6	-14.1
celebrated	10	4	5	15	7	2	-17.1	-13.9	-17.3
celebrates	10	3	3	6	7	2	-19.5	-17	-19.7
celebrating	11	4	3	6	7	2	-15.4	-16.7	-15.3
celebration	11	4	3	4	7	3	-15.4	-14.9	-15.4
celebrations	12	4	3	5	7	3	-18.7	-15.7	-19.6
celebrities	11	4	2	4	5	2	-16.6	-15.5	-16.9
celebrity	9	4	2	3	5	2	-15.5	-15.1	-15.8
celeron	7	3	0	0	0	0	-26.4	-22.2	-24.4
celexa	6	3	0	0	0	0	-24.4	-22.2	-24.4
cell	4	1	7	9	36	6	-13.1	-12.2	-12.9
cellar	6	2	3	3	1	3	-15.7	-18.2	-15.5
cellphone	9	2	1	4	0	1	-16.2	-21.2	-17.1
cells	5	1	7	10	36	6	-15.7	-11.9	-15.1
cellular	8	3	2	0	0	0	-18	-16.3	-17.2
celtic	6	2	2	3	2	1	-19.2	-14.6	-19.6
cement	6	2	8	1	6	8	-16.4	-16.4	-16.5
cemetery	8	4	1	6	1	1	-15.7	-14.6	-15.6
censorship	10	3	2	2	4	2	-19.3	-16.8	-18.6
census	6	2	2	2	0	2	-19.5	-12.2	-18.2
cent	4	1	2	2	2	3	-15.8	-16.1	-15.5
centennial	10	4	2	1	0	1	-20	-18.7	-20
center	6	2	23	41	54	20	-13.7	-10.8	-13.2
centered	8	2	4	11	5	3	-19.1	-15.4	-18.8
centers	7	2	21	40	54	20	-18.4	-14.8	-17.4
central	7	2	3	6	2	1	-14.6	-11.1	-14.1
centralized	11	3	2	4	0	1	-22.5	-17.9	-21.6
centrally	9	3	1	0	0	0	-21.9	-18.9	-22
centre	6	2	11	27	54	10	-15.2	-14.3	-15.4
centres	7	2	11	28	54	10	-19.5	-15.5	-19.8
centro	6	2	0	0	0	0	-22.8	-19.2	-21.2
cents	5	1	2	3	2	3	-14.8	-12.5	-14.2
centuries	9	3	2	5	2	2	-16	-13	-15.8
century	7	3	2	4	2	2	-14.4	-10.1	-14.3
ceo	3	3	1	3	0	1	-16.6	-16	-24.4
ceramic	7	3	2	0	1	1	-18.8	-16.2	-18.4
ceramics	8	3	2	1	1	2	-20.1	-16.4	-19.5
cereal	6	3	4	3	26	3	-16.1	-16.1	-16
cerebral	8	3	2	1	0	0	-18.3	-17.1	-17.7
ceremonies	10	4	3	4	21	2	-18.1	-15.5	-17.8
ceremony	8	4	3	3	21	2	-14.6	-13.9	-14.7
cerevisiae	10	3	0	0	0	0	-26.4	-20.6	-24.4
cern	4	1	0	0	0	0	-20.9	-18.4	-22
certain	7	2	7	2	0	0	-12.9	-11.5	-12.3
certainly	9	3	1	6	0	0	-12.1	-15.2	-11.8
certainty	9	3	2	2	11	2	-18.1	-17.9	-17.1
certificate	11	4	4	4	22	4	-15.5	-16.2	-15.5
certificates	12	4	4	5	22	4	-18.1	-17.9	-18.2
certification	13	5	4	7	9	4	-20.2	-17.5	-20.1
certifications	14	5	4	8	9	4	-24.4	-20.2	-23.4
certified	9	3	8	11	8	5	-17.5	-16.1	-17.3
certify	7	3	5	8	8	5	-20	-22.2	-19.7
cervical	8	3	2	0	0	0	-19.7	-18.2	-19.2
cfo	3	3	1	2	0	1	-19.2	-22.2	-24.4
cgi	3	3	0	0	0	0	-20.8	-18	-24.4
chad	4	1	4	6	8	2	-15.6	-16.1	-15.9
chain	5	1	12	12	20	10	-14.5	-13.8	-14.3
chains	6	1	13	14	20	11	-16.2	-15.3	-15.8
chair	5	1	7	10	17	7	-13.2	-14.6	-13.1
chaired	7	1	2	4	0	2	-22.7	-18.2	-22
chairman	8	2	2	4	2	2	-15.4	-14	-15.1
chairperson	11	3	1	4	2	1	-20.6	-18.7	-21.8
chairs	6	1	7	11	17	7	-15.5	-16.7	-15.4
challenge	9	2	9	3	22	9	-14.4	-13.6	-14.4
challenged	10	2	4	4	15	4	-16.8	-15.3	-16.7
challenger	10	3	1	4	12	1	-18.3	-16.4	-18.1
challenges	10	3	9	4	22	9	-17.3	-15.4	-17.6
challenging	11	3	7	7	15	4	-16.8	-17.2	-16.8
chamber	7	2	6	4	27	5	-15.5	-13.8	-15
chambers	8	2	7	8	27	5	-16.2	-15.2	-16.2
champ	5	1	3	3	1	2	-15.5	-17.2	-14.8
