word	length	syllables	senses	synonyms	hyponyms	hypernyms	subtitles	simple	subtlex
leaving	7	2	15	25	52	12	-11.7	-13.1	-11.6
lebanese	8	3	2	1	0	1	-19.4	-16.9	-18.5
lebanon	7	3	1	2	0	0	-19.2	-15.1	-19
lecture	7	2	5	25	6	5	-15.5	-16.6	-15.3
lecturer	8	3	2	2	0	2	-18.7	-16.7	-19
lectures	8	2	5	26	6	5	-17.8	-16.7	-17.4
led	3	1	15	20	18	12	-14.5	-11.4	-14.1
ledger	6	2	2	5	4	2	-18.5	-16.7	-18.4
leds	4	3	1	2	1	1	-24.4	-19.6	-23.4
lee	3	1	9	16	0	1	-13.7	-13.1	-13.1
leeds	5	1	1	1	0	0	-18.2	-14.6	-18.1
left	4	1	24	32	43	16	-10	-10.6	-9.8
leg	3	1	9	6	13	8	-13	-14.7	-12.9
legacy	6	3	1	1	0	2	-16.8	-15.8	-16.4
legal	5	2	5	2	0	0	-14	-12.9	-13.5
legally	7	3	2	2	0	0	-16	-15.4	-15.8
legend	6	2	2	2	1	2	-15	-13.7	-14.6
legendary	9	4	2	1	0	0	-16.3	-14.7	-16.7
legends	7	2	2	3	1	2	-17.1	-15.2	-16.9
legion	6	2	5	3	3	4	-17.4	-16.1	-17.4
legislation	11	4	2	3	5	2	-18.7	-16	-18.7
legislative	11	4	2	0	0	0	-20.6	-15	-20.6
legislators	11	4	1	1	12	2	-22.3	-22.2	-20.8
legislature	11	4	1	4	8	1	-20.3	-14.9	-19
legitimate	10	4	7	11	1	3	-16.5	-16	-15.8
lego	4	2	1	2	0	1	-19	-16	-24.4
legs	4	1	10	7	13	9	-12.8	-13.1	-12.9
leicester	9	2	2	2	0	0	-19.4	-16.3	-20.1
leicestershire	14	3	1	2	0	0	-22.8	-17.5	-24.4
leisure	7	2	2	1	4	2	-17.2	-16.8	-17.4
lemma	5	2	3	1	0	3	-24.8	-19.4	-24.4
lemon	5	2	5	6	1	5	-14.6	-15.7	-15.1
len	3	1	0	0	0	0	-17.7	-19	-24.4
lend	4	1	3	6	7	3	-14.7	-17.9	-15.2
lender	6	2	1	1	2	1	-20	-19.9	-21.4
lenders	7	2	1	2	2	1	-21.2	-19.2	-22.8
lending	7	2	4	8	8	4	-18	-18	-17.8
lendingtree	11	3	0	0	0	0	-26.4	-22.2	-24.4
length	6	1	5	2	20	7	-16.2	-12.3	-15.9
lengths	7	1	5	3	20	7	-17.8	-16.2	-17.5
lengthy	7	2	1	4	0	0	-19.4	-17.6	-19.2
lennon	6	2	1	2	0	0	-18.2	-13.5	-24.4
lenox	5	2	0	0	0	0	-21.1	-22.2	-24.4
lens	4	1	5	7	16	5	-16.8	-15.2	-16.5
lenses	6	2	6	8	16	5	-17.7	-16	-17.5
leo	3	2	3	3	0	1	-14.2	-14.9	-13
leon	4	2	3	1	0	0	-15.2	-16.1	-15.3
leonard	7	2	1	4	0	0	-15	-15.5	-15.1
leone	5	2	1	0	0	1	-18.8	-16.3	-18.4
lesbian	7	3	3	4	1	2	-15.3	-15.6	-15.4
lesbianas	9	3	0	0	0	0	-26.4	-22.2	-24.4
lesbians	8	3	2	4	1	2	-17	-17.9	-17.3
lesbo	5	3	0	0	0	0	-19	-22.2	-24.4
lesbos	6	3	1	3	0	0	-20.2	-18.9	-24.4
lesions	7	2	2	2	8	2	-20.1	-18.3	-18.6
leslie	6	2	0	0	0	0	-14.6	-15.9	-24.4
lesotho	7	3	1	3	0	0	-23.6	-17.7	-24.4
less	4	1	6	3	0	2	-12.2	-11.2	-11.9
lesser	6	2	5	1	0	0	-17.7	-14.9	-17.3
lesson	6	2	4	4	8	4	-13.6	-16.9	-13.7
lessons	7	2	4	5	8	4	-14.7	-14.3	-14.8
lester	6	2	1	3	0	0	-16	-17	-15.9
let	3	1	8	14	12	6	-7.6	-12.4	-7.5
lethal	6	2	1	1	0	0	-16.8	-16.7	-16.2
letras	6	3	0	0	0	0	-26.4	-22.2	-24.4
lets	4	1	8	15	12	6	-14.1	-14.2	-14.5
lett	4	1	0	0	0	0	-21.7	-22.2	-21.8
letter	6	2	8	4	97	9	-12.6	-12.4	-12.3
letters	7	2	10	5	97	11	-13.8	-12.4	-13.5
letting	7	2	7	9	14	6	-13.6	-15.6	-13.4
leukemia	8	4	1	3	6	1	-19	-17	-17.8
level	5	2	19	27	40	12	-13.6	-11.8	-13
levels	6	2	14	24	40	12	-16	-13	-15.3
lever	5	2	4	5	15	4	-17.1	-16.7	-17
leverage	8	3	5	2	1	5	-18	-20.2	-17.2
levi	4	2	1	6	0	0	-18.3	-17.1	-18
levin	5	2	0	0	0	0	-19.9	-18.3	-19.3
levine	6	2	0	0	0	0	-19	-16.9	-24.4
levitra	7	3	1	2	0	1	-25.4	-22.2	-24.4
levy	4	2	4	4	9	4	-18.9	-17	-17.7
lewis	5	2	6	11	0	0	-15.2	-14.3	-14.3
lexington	9	3	3	3	0	0	-19.3	-16.8	-24.4
lexmark	7	2	0	0	0	0	-26.4	-22.2	-24.4
lexus	5	2	0	0	0	0	-19.4	-20.6	-24.4
lg	2	3	0	0	0	0	-20.2	-18.2	-20.3
li	2	1	3	5	0	2	-14.7	-15.5	-15.4
liabilities	11	5	4	3	15	4	-20.5	-19.9	-20.4
liability	9	5	3	2	9	3	-17.7	-18.2	-17.1
liable	6	3	4	4	0	0	-16.9	-19	-15.8
liaison	7	3	2	8	0	2	-18.1	-19	-17.2
liam	4	2	0	0	0	0	-15.5	-16.4	-24.4
lib	3	1	0	0	0	0	-19.3	-20.2	-19.4
libby	5	2	1	2	0	0	-16.7	-18.7	-24.4
liberal	7	3	7	15	5	1	-17.1	-13.8	-16.7
liberals	8	3	2	3	5	1	-19	-16.9	-19.3
liberia	7	4	1	2	0	0	-22.3	-16.9	-20.2
liberties	9	3	5	6	6	4	-18.7	-17.5	-18.1
liberty	7	3	5	5	6	4	-15.2	-15	-14.6
librarian	9	4	1	1	1	1	-17.6	-17.5	-17.2
librarians	10	4	1	2	1	1	-20	-18.5	-21.8
libraries	9	3	5	4	5	4	-19.5	-15.4	-19.2
library	7	3	5	3	5	4	-14.4	-13.1	-14.2
libtool	7	3	0	0	0	0	-26.4	-22.2	-24.4
libya	5	3	1	2	0	0	-19.7	-16.2	-18.9
licence	7	2	4	3	14	3	-16.5	-16.1	-16.4
licences	8	3	4	4	14	3	-21.5	-19.9	-20.7
license	7	2	5	4	19	4	-14	-13.5	-13.7
licensed	8	2	2	6	3	1	-17.8	-15.8	-17.2
licensee	8	3	1	0	0	1	-22.9	-21.2	-24.4
licenses	8	3	5	5	19	4	-18.9	-16.4	-18.8
licensing	9	3	1	3	3	1	-20.3	-17	-20.9
licensors	9	3	0	0	0	0	-26.4	-22.2	-24.4
lick	4	1	7	18	13	7	-15.3	-18	-15.2
licking	7	2	6	20	16	7	-16.8	-18.9	-16.9
lid	3	1	3	4	23	3	-16.3	-18.1	-16.4
lie	3	1	10	9	36	7	-12	-14.6	-11.8
liechtenstein	13	3	1	2	0	0	-21.2	-17.4	-22.8
lied	4	1	8	6	32	6	-13.6	-16.8	-13.2
lien	4	1	2	1	7	2	-20.8	-22.2	-19.5
lies	4	1	10	10	36	7	-13.7	-13.1	-13.5
lieu	4	1	1	3	1	1	-19.5	-19.6	-18.5
lieutenant	10	3	4	2	6	4	-13.3	-14.6	-12
life	4	1	14	13	23	10	-9.2	-10.1	-9.1
lifecycle	9	3	0	0	0	0	-23.6	-19.9	-24.4
lifelong	8	2	1	1	0	0	-17.4	-16.8	-18.1
lifestyle	9	2	1	3	3	1	-16.4	-15.5	-16.4
lifestyles	10	2	1	4	3	1	-19.8	-18.1	-19.4
lifetime	8	2	1	3	1	1	-14.6	-14.5	-14.5
lift	4	1	36	51	46	30	-13.5	-15.5	-13.6
lifted	6	2	25	39	37	18	-16.4	-16.2	-15.9
lifting	7	2	24	38	37	18	-16.7	-17.2	-16.6
lifts	5	1	36	52	46	30	-17.5	-16.7	-17.4
light	5	1	47	60	59	22	-11.7	-11.1	-11.3
lightbox	8	3	0	0	0	0	-26.4	-22.2	-24.4
lighter	7	2	29	31	12	4	-15.5	-15.1	-15.5
lighthouse	10	2	1	3	0	1	-17.5	-16.6	-17.1
lighting	8	2	10	18	8	10	-16	-15.6	-16
lightly	7	2	7	4	0	0	-16.5	-17	-16.5
lightning	9	2	2	0	4	2	-15	-14	-14.9
lights	6	1	21	35	59	22	-13.2	-14.7	-12.9
lightweight	11	2	6	2	0	4	-18.8	-17.3	-18.5
like	4	1	11	10	5	3	-6.9	-8.9	-6.7
liked	5	1	6	3	5	2	-12.7	-12.9	-12.4
likelihood	10	3	1	1	1	1	-19.6	-18.4	-18.5
likely	6	2	5	6	0	0	-14.5	-13	-14
likes	5	1	7	6	5	3	-12.5	-14.8	-12.4
likewise	8	2	3	6	0	0	-16.9	-16.3	-16.9
liking	6	2	6	3	13	3	-16.1	-16.9	-16
lil	3	1	0	0	0	0	-16.3	-16.7	-24.4
lillian	7	3	0	0	0	0	-16.9	-17.9	-24.4
lilly	5	2	0	0	0	0	-16.4	-16.8	-16.5
lily	4	2	1	0	13	1	-14	-16.3	-13.9
lima	4	2	1	2	0	0	-17.8	-16.5	-18.4
limb	4	1	6	3	12	6	-16.8	-17.5	-16.5
limbs	5	1	6	4	12	6	-17.3	-16	-17.3
lime	4	1	8	19	6	8	-16.9	-15.6	-17
limerick	8	3	2	1	0	1	-20.3	-18.9	-19.3
limit	5	2	9	20	38	8	-15.1	-14.2	-15
limitation	10	4	5	2	10	5	-20.6	-18.2	-20.5
limitations	11	4	5	3	10	5	-18.2	-16.9	-17.7
limited	7	3	11	17	23	4	-15.8	-13	-15.2
limiting	8	3	6	19	25	4	-20.5	-16.9	-19.2
limits	6	2	9	21	38	8	-15.9	-14.8	-15.8
limo	4	2	1	1	1	1	-15.7	-19.6	-15.6
limp	4	1	5	4	0	3	-16.7	-17.6	-16.8
lin	3	1	1	2	0	0	-16.6	-18.1	-16.5
lincoln	7	2	3	5	0	1	-15.8	-13.6	-14.5
lincolnshire	12	3	1	1	0	0	-21.8	-16.4	-24.4
linda	5	2	0	0	0	0	-14.5	-15.2	-14
lindsay	7	2	2	4	0	0	-15.7	-17	-24.4
lindsey	7	2	0	0	0	0	-18.1	-18	-24.4
line	4	1	36	67	185	34	-11.6	-10.8	-11
linear	6	3	5	6	0	0	-19.8	-15.4	-19.6
lined	5	1	9	7	13	6	-16.5	-16.7	-16
linen	5	2	3	1	4	3	-17.4	-17.2	-17.1
linens	6	2	3	2	4	3	-19.5	-22.2	-18.6
liner	5	2	4	3	8	4	-18.4	-17.9	-18.4
lines	5	1	36	68	185	34	-13.8	-12.3	-13.4
lineup	6	2	2	2	0	2	-17.6	-15.6	-17.2
lingere	7	3	0	0	0	0	-26.4	-22.2	-24.4
lingerie	8	3	1	1	2	1	-17	-19.2	-17.2
linguistic	10	3	2	1	0	0	-21.2	-16.2	-20.2
linguistics	11	3	2	1	14	2	-21.3	-16.7	-19.7
lining	6	2	10	8	18	10	-16.7	-17.6	-16.5
link	4	1	13	21	30	11	-15.4	-13.1	-15.1
linkage	7	2	4	1	1	4	-22.1	-18.1	-20.5
linked	6	1	5	13	21	2	-17.2	-13.7	-16.6
linking	7	2	4	11	21	2	-18.9	-16.2	-18.3
links	5	1	14	23	30	12	-17.4	-13.5	-17.2
linus	5	2	0	0	0	0	-18	-17	-24.4
lion	4	2	4	6	3	3	-14.5	-14.2	-14.8
lionel	6	3	0	0	0	0	-15.4	-17.1	-16.8
lip	3	1	5	7	3	6	-15.3	-16.6	-15.3
lipid	5	2	1	2	5	1	-24.1	-17.9	-22.8
lipitor	7	3	1	2	0	1	-22.1	-22.2	-24.4
liposuction	11	4	1	1	0	1	-19.3	-22.2	-19
lips	4	1	5	8	3	6	-13.7	-15.8	-13.7
liquid	6	2	11	10	22	4	-15.8	-13	-15.7
liquidity	9	4	3	6	0	3	-21.9	-21.2	-22.8
liquids	7	2	4	4	22	4	-19.2	-15.1	-18.9
liquor	6	2	3	8	15	3	-14.9	-17.5	-14.6
lisa	4	2	0	0	0	0	-13.4	-15	-24.4
lisbon	6	2	1	3	0	0	-18.1	-16.7	-18
lisp	4	1	3	2	0	3	-19.1	-19.4	-20
list	4	1	7	8	53	7	-12.7	-11.5	-12.4
listed	6	2	6	5	6	5	-16.8	-13	-16.2
listen	6	2	3	4	6	3	-9.8	-14.7	-9.6
listened	8	2	3	5	6	3	-15.2	-16.2	-14.8
listener	8	3	1	3	1	1	-17.8	-17.7	-18.2
listeners	9	3	1	4	1	1	-17.6	-16.6	-17.9
listening	9	3	4	6	8	4	-13	-15.2	-12.7
lister	6	2	3	7	0	2	-16.8	-20.2	-20.8
listing	7	2	7	7	54	7	-18.3	-16.1	-17.8
listings	8	2	7	8	54	7	-20	-17.9	-19.7
listprice	9	3	0	0	0	0	-26.4	-22.2	-24.4
lists	5	1	7	9	53	7	-17.3	-14.1	-16.7
lit	3	1	9	18	7	7	-15.7	-15.7	-15.4
lite	4	1	1	3	0	0	-19.4	-18.4	-19.4
liter	5	2	1	4	0	1	-18.9	-18.5	-17.9
literacy	8	4	1	0	0	1	-20.2	-16.2	-19.7
literal	7	3	5	8	0	1	-18.7	-16.3	-18.3
literally	9	4	2	0	0	0	-14.7	-14.2	-14.8
literary	8	4	3	0	0	0	-17.3	-14.3	-17.3
literature	10	4	4	1	2	3	-16.1	-13	-16
lithium	7	3	1	2	0	1	-19.5	-14.9	-18.5
lithuania	9	5	1	3	0	0	-20.5	-15.4	-20.9
lithuanian	10	5	3	1	0	2	-20.4	-16.4	-20.3
litigation	10	4	1	1	2	1	-19	-19.9	-18.2
litre	5	3	1	4	0	1	-19.7	-16.2	-22
litter	6	2	7	2	4	7	-17	-17	-16.7
little	6	2	10	13	0	1	-8.5	-11.1	-8.2
liu	3	1	0	0	0	0	-16.6	-15.2	-24.4
live	4	1	19	22	30	2	-10.4	-10.1	-10.3
livecam	7	3	0	0	0	0	-26.4	-22.2	-24.4
lived	5	1	7	16	30	2	-13.1	-11.1	-12.7
livejournal	11	3	0	0	0	0	-26.4	-18.7	-24.4
lively	6	2	6	14	0	0	-16.3	-16.3	-16.7
liver	5	2	5	1	4	4	-15.1	-14.3	-14.9
liverpool	9	3	1	1	0	0	-17.8	-14.4	-17.8
lives	5	1	21	30	53	12	-11.9	-11.9	-11.6
livesex	7	3	0	0	0	0	-26.4	-22.2	-24.4
livestock	9	2	1	2	0	1	-18.2	-16.4	-17.7
living	6	2	17	25	37	6	-11.6	-10.9	-11.4
llc	3	3	0	0	0	0	-20.2	-18.5	-24.4
lloyd	5	1	1	3	0	0	-15.3	-15.4	-24.4
llp	3	3	0	0	0	0	-24.1	-22.2	-24.4
ln	2	1	0	0	0	0	-13.4	-17.9	-12.5
load	4	1	14	21	21	12	-14.2	-15.6	-13.8
loaded	6	2	10	34	8	4	-14.8	-15.9	-14.5
loader	6	2	2	8	0	2	-20.4	-19.6	-19.8
loading	7	2	10	16	18	9	-16.9	-16.9	-16.4
loads	5	1	15	36	21	13	-15.8	-16.7	-16.9
loan	4	1	3	2	15	3	-14.5	-15.2	-14.4
loans	5	1	3	3	15	3	-17.3	-15.5	-17.2
lobby	5	2	4	9	2	4	-15.6	-17.9	-15
lobbying	8	3	1	2	0	1	-20.4	-18.7	-20.3
lobster	7	2	2	0	7	2	-15.7	-17.9	-15.8
local	5	2	5	4	8	2	-13.6	-11.5	-13.3
locale	6	2	1	2	0	1	-21	-20.6	-20.4
localhost	9	3	0	0	0	0	-26.4	-22.2	-24.4
localities	10	4	1	5	5	1	-23.4	-18.7	-23.4
locality	8	4	1	4	5	1	-20.3	-17.3	-21.8
localization	12	5	2	8	2	2	-24.4	-20.2	-24.4
localized	9	3	6	7	1	4	-20.5	-17.4	-20
locally	7	3	2	1	0	0	-19.1	-16.3	-18.5
locals	6	2	2	5	8	2	-17.4	-17	-16.8
locate	6	2	4	5	9	3	-16.2	-17	-15.3
located	7	3	5	9	9	3	-16	-10.2	-15.5
locating	8	3	6	14	21	5	-19.4	-19.2	-18.2
location	8	3	4	8	38	4	-14.8	-13.2	-14.1
locations	9	3	4	9	38	4	-17.6	-15	-16.9
locator	7	3	1	1	0	1	-19.9	-20.6	-18.8
lock	4	1	15	16	17	15	-13.2	-15.6	-12.9
locke	5	1	1	2	0	0	-19.6	-16.1	-24.4
locked	6	1	9	12	4	9	-13.3	-15.8	-13
locker	6	2	3	3	1	3	-15	-20.6	-14.7
locking	7	2	10	13	4	10	-17	-18.2	-16.6
locks	5	1	15	17	17	15	-16.2	-17	-16
locus	5	2	3	2	0	3	-22.7	-17.7	-20.3
lodge	5	1	10	21	32	9	-16	-16.7	-16
lodges	6	2	10	22	32	9	-20.5	-19.6	-20
lodging	7	2	7	11	21	7	-18.7	-19.9	-18.9
log	3	1	7	2	6	6	-15.6	-15.5	-15.1
logan	5	2	1	2	0	0	-15.8	-16.9	-13.9
logged	6	1	2	2	0	2	-18.7	-17.6	-17.6
logging	7	2	3	2	0	3	-19.2	-17.3	-18.8
logic	5	2	5	2	3	4	-16.1	-14.3	-15.9
logical	7	3	4	5	0	0	-16	-15	-15.8
login	5	2	0	0	0	0	-21.5	-18.9	-21.8
logistics	9	3	1	0	0	1	-19.4	-17.8	-19.2
logitech	8	3	0	0	0	0	-26.4	-19.9	-24.4
logo	4	2	1	1	0	1	-17.6	-14.6	-17.8
logos	5	2	2	5	0	1	-20.9	-17	-20.3
logout	6	2	0	0	0	0	-26.4	-22.2	-24.4
logs	4	1	7	3	6	6	-17.8	-16.4	-16.8
lohan	5	3	1	2	0	0	-19.6	-19.6	-20.9
lois	4	2	0	0	0	0	-14.2	-18.1	-24.4
lol	3	1	0	0	0	0	-18.2	-18.6	-24.4
lolitas	7	3	1	1	0	1	-23.8	-22.2	-24.4
london	6	2	2	6	0	0	-13.2	-10.5	-13.2
lone	4	1	3	6	0	0	-16.7	-16.7	-16.3
lonely	6	2	4	5	0	0	-13.6	-15.4	-13.3
long	4	1	12	11	1	1	-9.6	-10	-9.3
longer	6	2	11	12	0	1	-12.2	-11.8	-12.1
